Date,Reason,Debit,Credit,Balance
2011-11-27,OpeningBalance,-,-,350
2011-11-27,BreakFast-ROOM,75,-,275
2011-11-27,Lend,100,-,175
2011-11-27,ROMM-Gross,70,-,105
2011-11-27,Snaks,25,-,80
2011-11-27,Dinner,20,-,60
2011-11-28,BreakFast,25,-,35
2011-11-28,ATM-WithDraw,-,500,535
2011-11-28,Dinner,30,-,505
2011-11-29,BreakFast,10,-,495
2011-11-30,BreakFast,20,-,475
2011-11-30,Dinner-ROOM,50,-,425
2011-12-01,BreakFast,15,-,410
2011-12-01,Snaks,40,-,370
2011-12-02,BreakFast,20,-,350
2011-12-02,WithDrawn-forVipan,-,2900,3250
2011-12-03,BreakFast,50,-,3200
2011-12-03,Shopping,440,-,2760
2011-12-03,Shopping-SaiK,200,-,2560
2011-12-03,BalanceLend,400,-,2160
2011-12-03,Lend,500,-,1660
2011-12-03,ReturnLendVipan,-,500,2160
2011-12-03,Return,-,500,2660
2011-12-03,RoomRentPower,1500,-,1160
2011-12-03,ShashiGift,300,-,860
2011-12-03,Dinner,200,-,660
2011-12-04,AXE-Shuttle,160,-,500
2011-12-05,BreakFast,30,-,470
2011-12-06,BreakFast,20,-,450
2011-12-07,Lunch,20,-,430
2011-12-08,BreakFast,20,-,410
2011-12-08,refund,-,200,610
2011-12-08,Snaks,60,-,550
2011-12-08,PrasadBalAmt,500,-,50
2011-12-09,BreakFast,20,-,30
2011-12-09,IMAX-PussInBoots,250,-,-220
2011-12-09,Auto,30,-,-250
2011-12-09,WithDrawnING,-,500,250
2011-12-10,Jurney,25,-,225
2011-12-11,Return,20,-,205
2011-12-11,Snaks,20,-,185
2011-12-12,BreakFast,20,-,165
2011-12-12,Snaks,35,-,130
2011-12-12,MovieAMTfromING,-,250,380
2011-12-12,WithDrawn,-,200,580
2011-12-13,BreakFast,30,-,550
2011-12-15,BreakFast,10,-,540
2011-12-15,DinnerSnaks,70,-,470
2011-12-15,RoomShopping,50,-,420
2011-12-15,Shopping,50,-,370
2011-12-14,BreakFast,20,-,350
2011-12-14,Snaks,10,-,340
2011-12-17,Brunch,50,-,290
2011-12-17,Dinner,50,-,240
2011-12-17,ShoppingJourney,40,-,200
2011-12-18,BreakFast,40,-,160
2011-12-18,WithDrawn,-,500,660
2011-12-18,Trimmer,300,-,360
2011-12-18,BusFair,30,-,330
2011-12-18,SnaksDinner,60,-,270
2011-12-18,BusFair,30,-,240
2011-12-19,BreakFastX2,40,-,200
2011-12-20,BreakFast,10,-,190
2011-12-21,BreakFast,15,-,175
2011-12-22,BreakFast,20,-,155
2011-12-23,BreakFast,10,-,145
